10	6.233	0.9859			
14	6.426	1.2225			
18	6.619	1.4739			
22	6.824	1.6971			
26	7.046	1.8887			
30	7.271	2.0915			
34	7.518	2.2274			
38	7.773	2.3701			
42	8.046	2.4936			
46	8.339	2.5953			
50	8.643	2.7011			
54	9.004	2.7200			
58	9.378	2.7361			
62	9.764	2.6885			
66	10.157	2.5706			
70	10.561	2.4401			
74	10.924	2.1568			
78	11.287	1.8540			
82	11.583	1.4770			
86	11.802	1.0294			
90	12.006	0.5669			
94	12.012	0.0662			
98	11.998	-0.4340			
102	11.884	-0.8974			
106	11.676	-1.3147			
110	11.456	-1.7184			
114	11.146	-1.9786			
118	10.837	-2.2247			
122	10.526	-2.4064			
126	10.217	-2.5276			
130	9.914	-2.6403			
134	9.629	-2.6665			
138	9.351	-2.6892			
142	9.096	-2.6792			
146	8.864	-2.6391			
150	8.638	-2.5993			
154	8.455	-2.5264			
158	8.275	-2.4555			
162	8.115	-2.3775			
166	7.974	-2.2928			
170	7.835	-2.2103			
174	7.725	-2.1201			
178	7.616	-2.0320			
182	7.520	-1.9441			
186	7.436	-1.8562			
190	7.352	-1.7701			
194	7.286	-1.6852			
198	7.220	-1.6020			
202	7.162	-1.5209			
206	7.110	-1.4418			
210	7.059	-1.3639			
214	7.018	-1.2886			
218	6.977	-1.2143			
222	6.940	-1.1423			
226	6.908	-1.0724			
230	6.876	-1.0032			
234	6.851	-0.9375			
238	6.825	-0.8723			
242	6.802	-0.8091			
246	6.782	-0.7477			
250	6.762	-0.6868			
254	6.747	-0.6289			
258	6.731	-0.5713			
262	6.717	-0.5152			
266	6.705	-0.4605			
270	6.692	-0.4061			
274	6.683	-0.3548			
278	6.673	-0.3037			
282	6.665	-0.2538			
286	6.658	-0.2053			
290	6.650	-0.1568			
294	6.645	-0.1103			
298	6.640	-0.0638			
302	6.636	-0.0185			
306	6.633	0.0256			
310	6.629	0.0697			
314	6.627	0.1116			
318	6.625	0.1534			
322	6.623	0.1944			
326	6.622	0.2345			
330	6.620	0.2746			
334	6.620	0.3137			
338	6.621	0.3529			
342	6.622	0.3910			
346	6.623	0.4282			
350	6.624	0.4654			
354	6.627	0.5010			
358	6.629	0.5367			
362	6.632	0.5716			
366	6.634	0.6056			
370	6.637	0.6396			
